classifier,recording_weighted_f1_mean,recording_weighted_f1_std,recording_balanced_accuracy_mean,recording_balanced_accuracy_std,grouped_weighted_f1_mean,grouped_weighted_f1_std,grouped_balanced_accuracy_mean,grouped_balanced_accuracy_std,weighted_f1_difference,balanced_accuracy_difference
KNeighborsClassifier (k=3),0.5417527785974231,0.06061894774114854,0.5940951373692595,0.05585638712792831,0.44602089372065706,0.052123321548738714,0.47924550066426497,0.03063028121273337,-0.09573188487676604,-0.11484963670499448
MLPClassifier,0.6633662853589473,0.04728319384030678,0.6116037463962276,0.06912556006717793,0.574778447350176,0.08773507722739195,0.5240682982158955,0.10776740445531324,-0.08858783800877124,-0.0875354481803321
RandomForestClassifier,0.6788053686510847,0.033452556853064905,0.6152450178005607,0.05100967456092714,0.5784199131153305,0.0312579407276404,0.4861318893412715,0.06138189025872842,-0.10038545553575418,-0.12911312845928924
SVC,0.6683342754381152,0.04479666811844142,0.598081702161444,0.05765485748033509,0.5975570097928241,0.03550887431039606,0.512218061623096,0.062476065141068314,-0.07077726564529108,-0.08586364053834794
