protocol,classifier,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,fit_time_mean_seconds,fit_time_std_seconds
recording-level,KNeighborsClassifier (k=3),0.6252006751503361,0.059948258903100675,0.6583475845717818,0.0542410207887143,0.0032684655030607245,0.0005178430883187062
recording-level,MLPClassifier,0.6744716509480957,0.05137006012570109,0.619962759310534,0.054122543096485655,0.4174764647032134,0.04253519166409749
recording-level,RandomForestClassifier,0.7252953451572596,0.06275880909472521,0.6685907972411018,0.07570697681339533,0.3557839975997922,0.007655337814386302
recording-level,SVC,0.7361281716494773,0.040722727207899545,0.6724933170753884,0.048039830704057346,0.020151343499310314,0.0010773496833224039
subject-independent,KNeighborsClassifier (k=3),0.4716129188818689,0.08172509142452997,0.5188109271862131,0.054722853246093786,0.0030318625998916105,0.000420470542930924
subject-independent,MLPClassifier,0.593615880184881,0.022888120278309936,0.5311192699579428,0.03163956343102451,0.4016043693991378,0.04970972635639856
subject-independent,RandomForestClassifier,0.6183859352600387,0.03955902045177723,0.5273789766467112,0.03767332999144155,0.35400866940035486,0.005648801852957623
subject-independent,SVC,0.6576029739406023,0.03651838929763596,0.5693882598459258,0.037293339942975685,0.020975823196931743,0.003077985023714497
