protocol,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,fit_time_mean_seconds,fit_time_std_seconds
recording-level,0.6850525946992707,0.06448706551087022,0.6112934134085714,0.06438371190651135,0.14455162180238404,0.07141417191248456
subject-independent,0.6605550311166088,0.07610515169225059,0.5745415278424432,0.09915798461878791,0.13218425160157493,0.04794973608354355
