feature_idx,feature_name,feature_group,importance_mean,importance_std
53,mfcc_delta2_c1_mean,MFCC-delta2,0.006787166,0.0019156993
94,spectral_contrast_band3_std,Spectral contrast,0.0067717554,0.0026363214
77,mfcc_delta2_c12_std,MFCC-delta2,0.0066857846,0.0024030781
122,tempogram_ratio_bin8_mean,Tempogram ratio,0.0066623045,0.0074977386
120,tempogram_ratio_bin6_mean,Tempogram ratio,0.0066568092,0.0010644384
14,mfcc_c1_std,MFCC,0.0064958474,0.004843484
4,mfcc_c4_mean,MFCC,0.006454931,0.00073256873
61,mfcc_delta2_c9_mean,MFCC-delta2,0.006397029,0.00078193
90,spectral_contrast_band6_mean,Spectral contrast,0.006370905,0.0040512886
60,mfcc_delta2_c8_mean,MFCC-delta2,0.006356337,0.0009579134
20,mfcc_c7_std,MFCC,0.0063391305,0.0014266561
131,tempogram_ratio_bin4_std,Tempogram ratio,0.0063295746,0.004110212
11,mfcc_c11_mean,MFCC,0.0063244305,0.004148985
69,mfcc_delta2_c4_std,MFCC-delta2,0.00627736,0.004056426
106,tonnetz_dim0_std,Tonnetz,0.0062637576,0.004549183
58,mfcc_delta2_c6_mean,MFCC-delta2,0.0062534,0.0022786036
34,mfcc_delta_c8_mean,MFCC-delta,0.00623483,0.0020834429
132,tempogram_ratio_bin5_std,Tempogram ratio,0.006228821,0.0018050595
26,mfcc_delta_c0_mean,MFCC-delta,0.0062142373,0.0009439773
68,mfcc_delta2_c3_std,MFCC-delta2,0.006107792,0.004531909
27,mfcc_delta_c1_mean,MFCC-delta,0.0060858433,0.0012663206
103,tonnetz_dim3_mean,Tonnetz,0.006030658,0.0012286231
31,mfcc_delta_c5_mean,MFCC-delta,0.0060261087,0.0036321748
133,tempogram_ratio_bin6_std,Tempogram ratio,0.006008974,0.001410647
113,zcr_std,ZCR,0.0060087093,0.0046004704
137,tempogram_ratio_bin10_std,Tempogram ratio,0.00600814,0.0023791273
45,mfcc_delta_c6_std,MFCC-delta,0.005938177,0.0012188327
44,mfcc_delta_c5_std,MFCC-delta,0.005936251,0.0017767717
112,zcr_mean,ZCR,0.005917023,0.0036106952
43,mfcc_delta_c4_std,MFCC-delta,0.005915302,0.0036105886
79,spectral_centroid_std,Spectral centroid,0.0058368067,0.0019984879
76,mfcc_delta2_c11_std,MFCC-delta2,0.0058258227,0.0018666785
0,mfcc_c0_mean,MFCC,0.0058140317,0.005780968
33,mfcc_delta_c7_mean,MFCC-delta,0.005808153,0.000748021
98,spectral_rolloff_mean,Spectral rolloff,0.00561353,0.003918107
127,tempogram_ratio_bin0_std,Tempogram ratio,0.00558797,0.0034444374
95,spectral_contrast_band4_std,Spectral contrast,0.005542197,0.00534388
86,spectral_contrast_band2_mean,Spectral contrast,0.0054686787,0.0014556817
